sample_id	image_path	question	A	B	C	D	answer	specialty	gender	country	question_type
1	images/001.png	3-year-old girl presented with fever 1 week and rash that rupture to form lip sores and crusts. Which is FALSE about the likely diagnosis?	 It is contagious	 Impetigo is a differential	 It is likely a fungi infection	Acute glomerulonephritis can be a complication	B	PAEDIATRICS	Male	Nigeria	MCQ
2	images/002.png	A 9-year-old child with cough, hemoptysis and curvature of the backbone. Which of the following is true?	Muscle tone is decreased	 Affectation of the cervical vertebrae causes paraplegia	Tuberculosis is a differential diagnosis	The continuation phase of the treatment regimen is 1 month	C	PAEDIATRICS	Male	Nigeria	MCQ
3	images/003.png	An 8-year-old girl with Xray of wrist shown below. Which is false	 Cupping is shown	 Flaying is shown	Calcium deficiency is a cause	Vitamin D deficiency is not a cause	D	PAEDIATRICS	Male	Nigeria	MCQ
4	images/004.png	A 2-month-old infant who presented with fever and whose umbilical cord stump is yet to fall off. Which of this is FALSE?	This is normal 	History of cord care should be obtained 	May be a pointer to primary immunodeficiency in the child 	 Prematurity is a risk factor 	A	PAEDIATRICS	Male	Nigeria	MCQ
5	images/005.jpg	Concerning the throat of this baby which is TRUE?	 Cleft palate is the diagnosis	Has autosomal recessive inheritance	 There is speech defect if untreated	 It does not predispose to chest infections	C	PAEDIATRICS	Male	Nigeria	MCQ
6	images/006.jpg	Which is TRUE about this procedure?	Used when serum bilirubin level is >20mg/dl	  Bronze baby syndrome is a complication seen in indirect hyperbilirubinemia	Extra fluid allowance is not necessary for this neonate	It can reduce incidence of kernicterus	D	PAEDIATRICS	Male	Nigeria	MCQ
7	images/007.jpg	A 4 year old girl with mid upper arm circumference (MUAC) as shown. Which is FALSE?	MUAC is measured midway between the tip of the acromion and the olecranon process 	The value shown moderate malnutrition	The yellow portion depicts borderline	Z score of -2 is moderate malnutrition	B	PAEDIATRICS	Male	Nigeria	MCQ
8	images/008.jpg	A 3-year-old with fever, seizure and unresponsiveness. Which is true?	Urinary tract infection is not a possibility	Meningitis is unlikely in this age group	Severe malaria is a possibility	A lumbar puncture is done if there is anisocoria	C	PAEDIATRICS	Male	Nigeria	MCQ
9	images/009.png	A 6-year-old boy with fever, jaw swelling, loosening of teeth and weight loss. Histology review Histology starry-sky appearance	Commonest childhood tumour in tropics	 Chromosomal translocation 8;14 is not common	Tumor lysis syndrome is a common finding	 The likely diagnosis is Hodgkin's lymphoma	A	PAEDIATRICS	Male	Nigeria	MCQ
10	images/010.png	A 2-year-old child with bluish discoloration of lips, tongue and easy fatiguability. Symptoms usually get better with squatting. Which of this is TRUE?	Peripheral cyanosis is shown	Anaemia is a common presentation	ECG is not required in the child evaluation	Cyanotic congenital heart disease is a possibility	D	PAEDIATRICS	Male	Nigeria	MCQ
