index,sample_id,image_path,question,A,B,C,D,answer,specialty,gender,country,question_type,text,prediction,hit,log,split
0,1,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/001.png,3-year-old girl presented with fever 1 week and rash that rupture to form lip sores and crusts. Which is FALSE about the likely diagnosis?, It is contagious, Impetigo is a differential, It is likely a fungi infection,Acute glomerulonephritis can be a complication,B,PAEDIATRICS,Male,Nigeria,MCQ,3-year-old girl presented with fever 1 week and rash that rupture to form lip sores and crusts. Which is FALSE about the likely diagnosis?,C,0,Match Log: C. ,none
1,2,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/002.png,"A 9-year-old child with cough, hemoptysis and curvature of the backbone. Which of the following is true?",Muscle tone is decreased, Affectation of the cervical vertebrae causes paraplegia,Tuberculosis is a differential diagnosis,The continuation phase of the treatment regimen is 1 month,C,PAEDIATRICS,Male,Nigeria,MCQ,"A 9-year-old child with cough, hemoptysis and curvature of the backbone. Which of the following is true?",C,1,Match Log: C. ,none
2,3,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/003.png,An 8-year-old girl with Xray of wrist shown below. Which is false, Cupping is shown, Flaying is shown,Calcium deficiency is a cause,Vitamin D deficiency is not a cause,D,PAEDIATRICS,Male,Nigeria,MCQ,An 8-year-old girl with Xray of wrist shown below. Which is false,D,1,Match Log: D. ,none
3,4,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/004.png,A 2-month-old infant who presented with fever and whose umbilical cord stump is yet to fall off. Which of this is FALSE?,This is normal ,History of cord care should be obtained ,May be a pointer to primary immunodeficiency in the child , Prematurity is a risk factor ,A,PAEDIATRICS,Male,Nigeria,MCQ,A 2-month-old infant who presented with fever and whose umbilical cord stump is yet to fall off. Which of this is FALSE?,A,1,Match Log: A. ,none
4,5,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/005.jpg,Concerning the throat of this baby which is TRUE?, Cleft palate is the diagnosis,Has autosomal recessive inheritance, There is speech defect if untreated, It does not predispose to chest infections,C,PAEDIATRICS,Male,Nigeria,MCQ,Concerning the throat of this baby which is TRUE?,A,0,Match Log: A. ,none
5,6,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/006.jpg,Which is TRUE about this procedure?,Used when serum bilirubin level is >20mg/dl,  Bronze baby syndrome is a complication seen in indirect hyperbilirubinemia,Extra fluid allowance is not necessary for this neonate,It can reduce incidence of kernicterus,D,PAEDIATRICS,Male,Nigeria,MCQ,Which is TRUE about this procedure?,D,1,Match Log: D. ,none
6,7,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/007.jpg,A 4 year old girl with mid upper arm circumference (MUAC) as shown. Which is FALSE?,MUAC is measured midway between the tip of the acromion and the olecranon process ,The value shown moderate malnutrition,The yellow portion depicts borderline,Z score of -2 is moderate malnutrition,B,PAEDIATRICS,Male,Nigeria,MCQ,A 4 year old girl with mid upper arm circumference (MUAC) as shown. Which is FALSE?,A,0,Match Log: A. ,none
7,8,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/008.jpg,"A 3-year-old with fever, seizure and unresponsiveness. Which is true?",Urinary tract infection is not a possibility,Meningitis is unlikely in this age group,Severe malaria is a possibility,A lumbar puncture is done if there is anisocoria,C,PAEDIATRICS,Male,Nigeria,MCQ,"A 3-year-old with fever, seizure and unresponsiveness. Which is true?",C,1,Match Log: C. ,none
8,9,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/009.png,"A 6-year-old boy with fever, jaw swelling, loosening of teeth and weight loss. Histology review Histology starry-sky appearance",Commonest childhood tumour in tropics, Chromosomal translocation 8;14 is not common,Tumor lysis syndrome is a common finding, The likely diagnosis is Hodgkin's lymphoma,A,PAEDIATRICS,Male,Nigeria,MCQ,"A 6-year-old boy with fever, jaw swelling, loosening of teeth and weight loss. Histology review Histology starry-sky appearance",A,1,Match Log: A. ,none
9,10,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/010.png,"A 2-year-old child with bluish discoloration of lips, tongue and easy fatiguability. Symptoms usually get better with squatting. Which of this is TRUE?",Peripheral cyanosis is shown,Anaemia is a common presentation,ECG is not required in the child evaluation,Cyanotic congenital heart disease is a possibility,D,PAEDIATRICS,Male,Nigeria,MCQ,"A 2-year-old child with bluish discoloration of lips, tongue and easy fatiguability. Symptoms usually get better with squatting. Which of this is TRUE?",D,1,Match Log: D. ,none
10,11,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/011.jpg,About Kangaroo mother care which is TRUE?,Makes breastfeeding difficult, The process reduces apnoea in preterms and low birth weight neonates, Increase nosocomial infection, It cannot be done by the father,B,PAEDIATRICS,Male,Nigeria,MCQ,About Kangaroo mother care which is TRUE?,B,1,Match Log: B. ,none
11,12,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/012.jpg,"This term neonate has umbilical hernia, macroglossia, with difficulty in sucking. Which is FALSE?",Growth failure is not a complication, Intellectual disability is common if untreated, Infant of mother with thyroid disease,Child will require treatment with levothyroxine,A,PAEDIATRICS,Male,Nigeria,MCQ,"This term neonate has umbilical hernia, macroglossia, with difficulty in sucking. Which is FALSE?",A,1,Match Log: A. ,none
